,,,,,Project,,,,,Lab,,,,,,,,,,,,,,,,,,,,,,,,,
,,C9d,,,0,,,,,0,,,0,,1,Exchangeable Aluminum,A 3 g sample of air dried soil is shaken with 30 mL of 1 MKCl for 30 min. and then centrifuged. The supernatant is analyzed for aluminum by ICP-AES.,"Barnhisel R. and P.M. Bertsch. 1982. Aluminum. p. 275-300. In A.L. Page (ed.) Methods of soil analysis. Part 2 Chemicals and microbiological properties. 2nd ed. ASA and SSSA, Madison, WI.   Fassel, V.A., and R.N. Kniseley. Nov. 1974. Inductively Coupled Plasma Optical Emission Spectroscopy. Anal. Chem. 46 (13):1110A-1120A. Also: Dahlquist, R.L. and J.W. Knoll. 1978. Inductively Coupled Plasma-Atomic Emission Spectrometry: Analysis of biological materials and soils for major trace, and ultra-trace elements. Appl. Spectroscopy 32:1-30. ICP: ARL (Fisons) Model 3560 ICP-AES in Thermo Instrument Systems Inc. (Fisons Instruments Inc. Division) 81 Wyman Street PO Box 9046 Waltham, MA 02254.",S19,,,,,,,,,,,,,,,,
,,C9e,,,0,,,,,0,,,0,,1,"Mercury, Total","Digestion of 0.5 g air dried sample with 10 mL HNO3 acid in a microwave digestion vessel for 10 minutes. The sample is further digested for 2 h with 0.25 M H2SO4, 5% potassium permanganate & 5% potassium persulfate in a hot water bath at 95oC. After reduction with stannous chloride, the Hg is quantified by the cold vapor technique using atomic absorption spectrophotometry on a mercuryMonitor Elemental Mercury Detector."," EPA Method No. 3051. 1992. Microwave assisted acid digestion of sediments, sludges, soils, and oils. In U.S. Environmental Protection Agency. 1992. Test Methods of Evaluating Solid Waste, Physical/Chemical Methods, SW-846, 3rd Edition. Evironmental Monitoring and Support Laboratory, Office for Research and Development, Cincinnati, OH 45268.  EPA Method No. 7470A. 1992. Mercury in liquid waste (Manual Cold-Vapor Technique). in U.S. Environmental Protection Agency. 1992. Test Methods of Evaluating Solid Waste, Physical/Chemical Methods, SW-846, 3rd Edition. Evironmental Monitoring and Support Laboratory, Office for Research and Development, Cincinnati, OH 45268. And in LDC Analytical. 3661 Interstate Industrial Park Rd. N. PO Box 10235. Riviera Beach, FL 33419-0235.",S32,,,,,,,,,,,,,,,,
,,\  \,,,,,,,,,,,,,,This is a break and is here on purpose,,,,,,,,,,,,,,,,,,,
,,C9l,,,,,,,,,,,,,,pXRF (portable X-ray fluorescence),,,,,,,,,,,,,,,,,,,
,,,C9l1,,,,,,,,,,,,,pXRF Stand (2min),"C9l1a = USDA Olympus pXRF Jelinski lab, C9l1b = Earth Science Niton. ",,,,,,,,,,,,,,,,,,
,,,C9l2,,,,,,,,,,,,,pXRF Stand (2min),"C9l1a = USDA Olympus pXRF Jelinski lab, C9l1b = Earth Science Niton. Two scans taken and then averaged.",,,,,,,,,,,,,,,,,,
,,,C9l3,,,,,,,,,,,,,pXRF stand (1min),,,,,,,,,,,,,,,,,,,
,,,C9l4,,,,,,,,,,,,,pXRF (Field),,,,,,,,,,,,,,,,,,,
,,C9m,,,,,,,,,,,,,,"EPA Method 3050B: Acid Digestion of Sediments, Sludges, and Soils","For the digestion of samples, a representative 1-2 gram (wet weight) or 1 gram (dry
weight) sample is digested with repeated additions of nitric acid (HNO 3 ) and hydrogen peroxide
(H2O2).","U.S. EPA. 1996. “Method 3050B: Acid Digestion of Sediments, Sludges, and Soils,” Revision 2. Washington, DC. https://www.epa.gov/sites/default/files/2015-06/documents/epa-3050b.pdf",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,C9zz,,,,,,,,,,,,,,Other,,,,,,,,,,,,,,,,,,,
,C10,,,,,,,,,,,,,,,"Other Macronutrients (Ca, Mg, S)",,,,,,,,,,,,,,,,,,,
,,C10a,,,1,,,,,1,,,0,,0,"ICAP (Inductively Coupled Atomic Plasma) (Ca, Mg, S)","Haney Test, Ward Labs",,,,,,,,,,,,,,,,,,
,,,C10a1,,,,,,,,,,,,,"ICap Sulfur, S","Haney Test, Ward Labs",,,,,,,,,,,,,,,,,,
,,,C10a2,,,,,,,,,,,,,"ICAP Calcium, Ca","Haney Test, Ward Labs",,,,,,,,,,,,,,,,,,
,,,C10a3,,,,,,,,,,,,,"ICAP Magnesium, Mg","Haney Test, Ward Labs",,,,,,,,,,,,,,,,,,
,,C10b,,,,,,,,,,,,,,"Elements, Water Extract, inductively coupled plasma mass spectrophotometer (ICP–MS)",,,,,,,,,,,,,,,,,,,
,,,C10a4,4D2a2d1-22,,,,,,,,,,,,"Calcium, Ca ","A 2.5-g sample of <2-mm, air-dry soil is mechanically shaken for 30 min in 25-mL of reverse osmosis deionized water. The sample is centrifuged until solution is free of soil mineral particles and filtered until clear extracts are obtained. Absorbance of the solution is read using a spectrophotometer at 882 nm. Data are reported as mg P kg_1 soil. Calibration standards plus a blank are prepared for elemental analysis. The concentration of all or selected Kellogg Soil Survey Laboratory Methods Manual: Current Methods 313 elements (Al, As, B, Ba, Ca, Cd, Co, Cr, Cu, Fe, K, Mg, Mn, Mo, Na, Ni, P, Pb, Se, Sr, Si, and Zn) are determined by inductively coupled plasma mass spectrophotometer (ICP–MS). Data from this procedure (4D2a2d1-22) are reported as mg kg_1 soil.",http://www.nrcs.usda.gov/Internet/FSE_DOCUMENTS/stelprdb1253872.pdf#page=340,,,,,,,,,,,,,,,,,
,,,C10a5,4D2a2d1-22,,,,,,,,,,,,"Magnesium, Mg ","A 2.5-g sample of <2-mm, air-dry soil is mechanically shaken for 30 min in 25-mL of reverse osmosis deionized water. The sample is centrifuged until solution is free of soil mineral particles and filtered until clear extracts are obtained. Absorbance of the solution is read using a spectrophotometer at 882 nm. Data are reported as mg P kg_1 soil. Calibration standards plus a blank are prepared for elemental analysis. The concentration of all or selected Kellogg Soil Survey Laboratory Methods Manual: Current Methods 313 elements (Al, As, B, Ba, Ca, Cd, Co, Cr, Cu, Fe, K, Mg, Mn, Mo, Na, Ni, P, Pb, Se, Sr, Si, and Zn) are determined by inductively coupled plasma mass spectrophotometer (ICP–MS). Data from this procedure (4D2a2d1-22) are reported as mg kg_1 soil.",http://www.nrcs.usda.gov/Internet/FSE_DOCUMENTS/stelprdb1253872.pdf#page=340,,,,,,,,,,,,,,,,,
,,C10c,,,0,,,,,0,,,0,,1,"Sulfur, total","Total sulfur is determined by combustion with the Elementar Rapid CS Cube.
",,S26,,,,,,,,,,,,,,,,
,,C10d,,,0,,,,,0,,,0,,1,"Sulfate, extractable","Sulfate is extracted by shaking 10 g of air dried soil in 25 mL of 0.008 M Ca(H2PO4)2.H2O for 30 minutes. After adding 0.10 g of activated carbon and shaking for an additional 3 minutes, the mixture is filtered. (Double the solution to soil ratio for peats and mucks.) The filtrate is analyzed on a Lachat QuikChem 8500 Flow Injection Analyzer BaCl is included to cause extracted sulfate to produce a BaSO4 precipitate, which is measured turbidimetrically at 420 nm.","Combs, S.M., J.L. Denning and K.D. Frank. Sulfate-sulfur. p. 35-40. in Recommended Chemical Soil Test Procedures for the North Central Region. North Central Regional Research Publication No. 221 (Revised). Jan. 1998. Missouri Agricultural Experiment Station SB 1001.",S27,,,,,,,,,,,,,,,,
,,C10e,,,0,,,,,0,,,0,,1,"Extractable/exchangeable (Ca, Mg, Mn, Na)","Base cations are extracted by shaking 3 g of air dried soil in 30mL of 1 M NH4OAc (pH 7) for 30 min. Extracts are centrifuged, and the supernatant is decanted and analyzed by ICP-AES.","Thomas, G. W. Exchange Cations. Method 9-3.1. p.159-165   Page, A. L. (ed.) 1982. Methods of soil analysis. Part 2. Chemical and Microbiological Properties, 2nd Ed., ASA, SSA, Madison, WI 53711.   Fassel, V.A., and R.N. Kniseley. Nov. 1974. Inductively Coupled Plasma Optical Emission Spectroscopy. Anal. Chem. 46 (13):1110A-1120A. Also: Dahlquist, R.L. and J.W. Knoll. 1978. Inductively Coupled Plasma-Atomic Emission Spectrometry: Analysis of biological materials and soils for major trace, and ultra-trace elements. Appl. Spectroscopy 32:1-30. ICP: ARL (Fisons) Model 3560 ICP-AES  Thermo Instrument Systems Inc. (Fisons Instruments Inc. Division) 81 Wyman Street PO Box 9046 Waltham, MA 02254.",S23,,,,,,,,,,,,,,,,
,,C10f,,,,,,,,,,,,,,Calcium Carbonate,,,,,,,,,,,,,,,,,,,
,,,C10f1,4E1a1a1a1,,,,,,,,,,,,"Calcium Carbonate Equivalent, <2mm","SSIR No. 42, v5, pg 370, http://www.nrcs.usda.gov/Internet/FSE_DOCUMENTS/stelprdb1253872.pdf#page=398",,,,,,,,,,,,,,,,,,
,,,C10f2,4E1a1a1a2,,,,,,,,,,,,"Calcium Carbonate Equivalent, 2-20mm","SSIR No. 42, v5, pg 370, http://www.nrcs.usda.gov/Internet/FSE_DOCUMENTS/stelprdb1253872.pdf#page=398",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,C10zz,,,,,,,,,,,,,,Other,,,,,,,,,,,,,,,,,,,
,C11,,,,,,,,,,,,,,,Organic Matter,,,,,,,,,,,,,,,,,,,
,,C11a,,,,,,,,,,,,,,"Organic Matter, % LOI (Loss on Ignition)",,,,,,,,,,,,,,,,,,,
,,,C11a1,,1,,,,0,1,,,0,,0,"Organic Matter, % LOI","Ward Lab; Soil samples, in crucibles, are dried for 2 hours at 105° C to drive off hydroscopic water.  The samples are cooled to room temperature and weighed.  Then the samples are heated to 360° C for 2 hours, cooled and weighed.  The difference in the weights is calculated as percent organic matter by LOI (loss on ignition).",,,,,,,,,,,,,,,,,,
,,,C11a2,,0,1,,,,0,,,0,,1,"Organic Matter, % LOI","UMN RAL, A 5 gram NCR-13 volumetric scoop of soil is placed into a tared, Kimax beaker, and is dried for 2 h at 105 degrees Celsius and weighed. The sample is then ashed for 2 h at 360 degrees Celsius and reweighed. The resulting loss of weight, as a percentage of the dry soil, is the estimate of organic matter content.","Combs, S.M. and M.V. Nathan. Soil Organic Matter. p. 53-58. in Ref. Source E.",S11,,,,,,,,,,,,,,,,
,,,C11a3,,,,,,,,,,,,,"Organic Matter, % LOI",LOI is found after weighing 5g to a crucible and placed in a muffle furnace at 550C for 5 hours. Jelinski Lab,,,,,,,,,,,,,,,,,,
,,C11b,,,,,,,,,,,,,,"Soil Organic Matter, SOM (Particulate Organic Matter/Mineral-Associated Organic Matter, POM/MAOM) Physical/size seperation",,,,,,,,,,,,,,,,,,,
,,,C11b1,6A4,,,,,,,,,,,,"Biomass, Hyper POM (Particulate Organic Matter), C","The Hyper POM (HPOM) procedure is primarily the physical separation (method 1B3b2a) of <2 mm sieved soil into the ≥53-µm fraction and the <53-µm fraction (Cambardella and Elliot, 1992; Follett and Pruessner, 1997). HPOM-C and HPOM-N are measured directly by dry combustion analysis of the ≥53-µm fraction, whereas MIN-C and MIN-N (<53-µm fraction) are calculated by subtracting the HPOM-C and HPOM-N values from the direct measurement by combustion of total C and N of the <2 mm soil (method 4H2a1-3).","SSIR No. 42, v5, pg 509, http://www.nrcs.usda.gov/Internet/FSE_DOCUMENTS/stelprdb1253872.pdf#page=537",,,,,,,,,,,,,,,,,
,,,C11b2,,,,,,,,,,,,,SOM (POM/MAOM) Size Fractionation,Cates Lab,"Cotrufo, M.F., Ranalli, M.G., Haddix, M.L., Six, J., Lugato, E., 2019. Soil carbon storage informed by particulate and mineral-associated organic matter. Nature Geoscience 12(12), 989-994.",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,C11zz,,,,,,,,,,,,,,Other,,,,,,,,,,,,,,,,,,,
,C12,,,,,,,,,,,,,,,Other Elements,,,,,,,,,,,,,,,,,,,
,,C12a,,,0,,,,,0,,,0,,1,Chloride,"Chloride is extracted by shaking 10 g of air dry soil and 25 mg of charcoal in 30 mL of 0.01 M CaSO4 for 30 minutes. Samples are subsequently centrifuged or filtered and analyzed on a Lachat QuikChem 8500 Flow Injection Analyzer by the mercury (II) thiocyanate method. In this method, chloride sequesters mercury from mercuric thiocyanate thereby liberating thiocyanate ion. The thiocyanate ion forms reddish yellow colored ferric thiocyanate in the presence of excess ferric nitrate, which is measured colorimetrically at 480 nm.","Gelderman R.H., J.L. Denning and R.J. Goos. Chlorides. p. 49-52. in Ref. Source Recommended Chemical Soil Test Procedures for the North Central Region. North Central Regional Research Publication No. 221.  (Revised). Jan. 1998. Missouri Agricultural Experiment Station SB 1001.   EPA Method No. 375.2. 1978. Chloride (Colorimetric, Automated, Ferricyanide, AA II).. in Ref. Source U.S. Environmental Protection Agency. March, 1979. Methods for chemical analysis of water and wastes. EPA-6004-79-020. Environmental Monitoring and Support Laboratory, Office of Research and Development, Cincinnati, OH 45268.",S21,,,,,,,,,,,,,,,,
,,C12b,,,0,,,,,0,,,0,,1,"""Total"" Elemetal, Microwave (EPA 3051)",A 0.5g sample of air dried soil is digested with 10mL concentrated HNO3 using the SCP Science Novawave according to the EPA 3051 procedure.  Results are then determined by ICP-OES for either 15 or 27 elements depending on the selected suite.,,S31,,,,,,,,,,,,,,,,
,,,C12zz,,,,,,,,,,,,,Other,,,,,,,,,,,,,,,,,,,
,,C12d,,4D2a2d1-22,,,,,,,,,,,,"Elements, Water Extract, inductively coupled plasma mass spectrophotometer (ICP–MS)","A 2.5-g sample of <2-mm, air-dry soil is mechanically shaken for 30 min in 25-mL of reverse osmosis deionized water. The sample is centrifuged until solution is free of soil mineral particles and filtered until clear extracts are obtained. Absorbance of the solution is read using a spectrophotometer at 882 nm. Data are reported as mg P kg_1 soil. Calibration standards plus a blank are prepared for elemental analysis. The concentration of all or selected Kellogg Soil Survey Laboratory Methods Manual: Current Methods 313 elements (Al, As, B, Ba, Ca, Cd, Co, Cr, Cu, Fe, K, Mg, Mn, Mo, Na, Ni, P, Pb, Se, Sr, Si, and Zn) are determined by inductively coupled plasma mass spectrophotometer (ICP–MS). Data from this procedure (4D2a2d1-22) are reported as mg kg_1 soil.",http://www.nrcs.usda.gov/Internet/FSE_DOCUMENTS/stelprdb1253872.pdf#page=340,,,,,,,,,,,,,,,,,
,,,C12d1,,,,,,,,,,,,,"Boron, B ","A 2.5-g sample of <2-mm, air-dry soil is mechanically shaken for 30 min in 25-mL of reverse osmosis deionized water. The sample is centrifuged until solution is free of soil mineral particles and filtered until clear extracts are obtained. Absorbance of the solution is read using a spectrophotometer at 882 nm. Data are reported as mg P kg_1 soil. Calibration standards plus a blank are prepared for elemental analysis. The concentration of all or selected Kellogg Soil Survey Laboratory Methods Manual: Current Methods 313 elements (Al, As, B, Ba, Ca, Cd, Co, Cr, Cu, Fe, K, Mg, Mn, Mo, Na, Ni, P, Pb, Se, Sr, Si, and Zn) are determined by inductively coupled plasma mass spectrophotometer (ICP–MS). Data from this procedure (4D2a2d1-22) are reported as mg kg_1 soil.",http://www.nrcs.usda.gov/Internet/FSE_DOCUMENTS/stelprdb1253872.pdf#page=340,,,,,,,,,,,,,,,,,
,,,C12d2,,,,,,,,,,,,,"Barium, Ba ","A 2.5-g sample of <2-mm, air-dry soil is mechanically shaken for 30 min in 25-mL of reverse osmosis deionized water. The sample is centrifuged until solution is free of soil mineral particles and filtered until clear extracts are obtained. Absorbance of the solution is read using a spectrophotometer at 882 nm. Data are reported as mg P kg_1 soil. Calibration standards plus a blank are prepared for elemental analysis. The concentration of all or selected Kellogg Soil Survey Laboratory Methods Manual: Current Methods 313 elements (Al, As, B, Ba, Ca, Cd, Co, Cr, Cu, Fe, K, Mg, Mn, Mo, Na, Ni, P, Pb, Se, Sr, Si, and Zn) are determined by inductively coupled plasma mass spectrophotometer (ICP–MS). Data from this procedure (4D2a2d1-22) are reported as mg kg_1 soil.",http://www.nrcs.usda.gov/Internet/FSE_DOCUMENTS/stelprdb1253872.pdf#page=340,,,,,,,,,,,,,,,,,
,,,C12d3,,,,,,,,,,,,,"Manganese, Mn ","A 2.5-g sample of <2-mm, air-dry soil is mechanically shaken for 30 min in 25-mL of reverse osmosis deionized water. The sample is centrifuged until solution is free of soil mineral particles and filtered until clear extracts are obtained. Absorbance of the solution is read using a spectrophotometer at 882 nm. Data are reported as mg P kg_1 soil. Calibration standards plus a blank are prepared for elemental analysis. The concentration of all or selected Kellogg Soil Survey Laboratory Methods Manual: Current Methods 313 elements (Al, As, B, Ba, Ca, Cd, Co, Cr, Cu, Fe, K, Mg, Mn, Mo, Na, Ni, P, Pb, Se, Sr, Si, and Zn) are determined by inductively coupled plasma mass spectrophotometer (ICP–MS). Data from this procedure (4D2a2d1-22) are reported as mg kg_1 soil.",http://www.nrcs.usda.gov/Internet/FSE_DOCUMENTS/stelprdb1253872.pdf#page=340,,,,,,,,,,,,,,,,,
,,,C12d4,,,,,,,,,,,,,"Molybdenum, Mo ","A 2.5-g sample of <2-mm, air-dry soil is mechanically shaken for 30 min in 25-mL of reverse osmosis deionized water. The sample is centrifuged until solution is free of soil mineral particles and filtered until clear extracts are obtained. Absorbance of the solution is read using a spectrophotometer at 882 nm. Data are reported as mg P kg_1 soil. Calibration standards plus a blank are prepared for elemental analysis. The concentration of all or selected Kellogg Soil Survey Laboratory Methods Manual: Current Methods 313 elements (Al, As, B, Ba, Ca, Cd, Co, Cr, Cu, Fe, K, Mg, Mn, Mo, Na, Ni, P, Pb, Se, Sr, Si, and Zn) are determined by inductively coupled plasma mass spectrophotometer (ICP–MS). Data from this procedure (4D2a2d1-22) are reported as mg kg_1 soil.",http://www.nrcs.usda.gov/Internet/FSE_DOCUMENTS/stelprdb1253872.pdf#page=340,,,,,,,,,,,,,,,,,
,,,C12d5,,,,,,,,,,,,,"Selenium, Se ","A 2.5-g sample of <2-mm, air-dry soil is mechanically shaken for 30 min in 25-mL of reverse osmosis deionized water. The sample is centrifuged until solution is free of soil mineral particles and filtered until clear extracts are obtained. Absorbance of the solution is read using a spectrophotometer at 882 nm. Data are reported as mg P kg_1 soil. Calibration standards plus a blank are prepared for elemental analysis. The concentration of all or selected Kellogg Soil Survey Laboratory Methods Manual: Current Methods 313 elements (Al, As, B, Ba, Ca, Cd, Co, Cr, Cu, Fe, K, Mg, Mn, Mo, Na, Ni, P, Pb, Se, Sr, Si, and Zn) are determined by inductively coupled plasma mass spectrophotometer (ICP–MS). Data from this procedure (4D2a2d1-22) are reported as mg kg_1 soil.",http://www.nrcs.usda.gov/Internet/FSE_DOCUMENTS/stelprdb1253872.pdf#page=340,,,,,,,,,,,,,,,,,
,,,C12d6,,,,,,,,,,,,,"Silicon, Si ","A 2.5-g sample of <2-mm, air-dry soil is mechanically shaken for 30 min in 25-mL of reverse osmosis deionized water. The sample is centrifuged until solution is free of soil mineral particles and filtered until clear extracts are obtained. Absorbance of the solution is read using a spectrophotometer at 882 nm. Data are reported as mg P kg_1 soil. Calibration standards plus a blank are prepared for elemental analysis. The concentration of all or selected Kellogg Soil Survey Laboratory Methods Manual: Current Methods 313 elements (Al, As, B, Ba, Ca, Cd, Co, Cr, Cu, Fe, K, Mg, Mn, Mo, Na, Ni, P, Pb, Se, Sr, Si, and Zn) are determined by inductively coupled plasma mass spectrophotometer (ICP–MS). Data from this procedure (4D2a2d1-22) are reported as mg kg_1 soil.",http://www.nrcs.usda.gov/Internet/FSE_DOCUMENTS/stelprdb1253872.pdf#page=340,,,,,,,,,,,,,,,,,
,,,C12d7,,,,,,,,,,,,,"Sodium, Na ","A 2.5-g sample of <2-mm, air-dry soil is mechanically shaken for 30 min in 25-mL of reverse osmosis deionized water. The sample is centrifuged until solution is free of soil mineral particles and filtered until clear extracts are obtained. Absorbance of the solution is read using a spectrophotometer at 882 nm. Data are reported as mg P kg_1 soil. Calibration standards plus a blank are prepared for elemental analysis. The concentration of all or selected Kellogg Soil Survey Laboratory Methods Manual: Current Methods 313 elements (Al, As, B, Ba, Ca, Cd, Co, Cr, Cu, Fe, K, Mg, Mn, Mo, Na, Ni, P, Pb, Se, Sr, Si, and Zn) are determined by inductively coupled plasma mass spectrophotometer (ICP–MS). Data from this procedure (4D2a2d1-22) are reported as mg kg_1 soil.",http://www.nrcs.usda.gov/Internet/FSE_DOCUMENTS/stelprdb1253872.pdf#page=340,,,,,,,,,,,,,,,,,
,,,C12d8,,,,,,,,,,,,,"Strontium, Sr ","A 2.5-g sample of <2-mm, air-dry soil is mechanically shaken for 30 min in 25-mL of reverse osmosis deionized water. The sample is centrifuged until solution is free of soil mineral particles and filtered until clear extracts are obtained. Absorbance of the solution is read using a spectrophotometer at 882 nm. Data are reported as mg P kg_1 soil. Calibration standards plus a blank are prepared for elemental analysis. The concentration of all or selected Kellogg Soil Survey Laboratory Methods Manual: Current Methods 313 elements (Al, As, B, Ba, Ca, Cd, Co, Cr, Cu, Fe, K, Mg, Mn, Mo, Na, Ni, P, Pb, Se, Sr, Si, and Zn) are determined by inductively coupled plasma mass spectrophotometer (ICP–MS). Data from this procedure (4D2a2d1-22) are reported as mg kg_1 soil.",http://www.nrcs.usda.gov/Internet/FSE_DOCUMENTS/stelprdb1253872.pdf#page=340,,,,,,,,,,,,,,,,,
,,,C12d9,,,,,,,,,,,,,"Zinc, Zn ","A 2.5-g sample of <2-mm, air-dry soil is mechanically shaken for 30 min in 25-mL of reverse osmosis deionized water. The sample is centrifuged until solution is free of soil mineral particles and filtered until clear extracts are obtained. Absorbance of the solution is read using a spectrophotometer at 882 nm. Data are reported as mg P kg_1 soil. Calibration standards plus a blank are prepared for elemental analysis. The concentration of all or selected Kellogg Soil Survey Laboratory Methods Manual: Current Methods 313 elements (Al, As, B, Ba, Ca, Cd, Co, Cr, Cu, Fe, K, Mg, Mn, Mo, Na, Ni, P, Pb, Se, Sr, Si, and Zn) are determined by inductively coupled plasma mass spectrophotometer (ICP–MS). Data from this procedure (4D2a2d1-22) are reported as mg kg_1 soil.",http://www.nrcs.usda.gov/Internet/FSE_DOCUMENTS/stelprdb1253872.pdf#page=340,,,,,,,,,,,,,,,,,
,,C12e,,,,,,,,,,,,,,"H3A Extract, Haney Tests by Ward Labs, ICAP (Inductively Coupled Atomic Plasma) ","Haney Test, Ward Labs",,,,,,,,,,,,,,,,,,
,,,C12e1,,,,,,,,,,,,,"ICAP Sodium, Na","Haney Test, Ward Labs",,,,,,,,,,,,,,,,,,
,,,C12e2,,,,,,,,,,,,,"ICAP Aluminum, Al","Haney Test, Ward Labs",,,,,,,,,,,,,,,,,,
,,C12f,,,,,,,,,,,,,,Ammonioum Oxalate,,,,,,,,,,,,,,,,,,,
,,,C12f1,,,,,,,,,,,,,ammonium_oxalate_al_percent,,,,,,,,,,,,,,,,,,,
,,,C12f2,,,,,,,,,,,,,ammonium_oxalate_fe_percent,,,,,,,,,,,,,,,,,,,
,,,C12f3,,,,,,,,,,,,,ammonium_oxalate_si_percent,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,C12zz,,,,,,,,,,,,,,Other,,,,,,,,,,,,,,,,,,,
B,,,,,,,,,,,,,,,,Biological,,,,,,,,,,,,,,,,,,,
,B1,,,,,,,,,,,,,,,Soil Respiration,,,,,,,,,,,,,,,,,,,
,,B1a,,,1,1,,,0,1,,,0,,0,"Soil Respiration, Carbon dioxide, CO2",,,,,,,,,,,,,,,,,,,
,,,B1a1,,,,,,,,,,,,,"Solvita CO2-C, C",Solvita,,,,,,,,,,,,,,,,,,
,,,B1a2,,,,,,,,,,,,,"Soil respiration Co2-C, C, Haney Test, Ward lab","Haney Test, Ward Labs, (When we receive the sample we dry the soil over night at 110 F and then crush the soil and collect soil that passes through a 2 mm sieve (opening is the size of a window screen).  We measure out 40 grams (about 1 _ ounces) of soil and add water at the bottom of the beaker so the water moves up into the soil by capillary action. )",,,,,,,,,,,,,,,,,,
,,B1b,,,,1,,,,,,,,,,Solvita SLAN (Solvita Labile Amino-Nitrogen) ,Solvita labile amino nitrogen test ,,,,,,,,,,,,,,,,,,
,,B1c,,,,,,1,,,,,,,,Potentially mineralizable carbon (PMC),24 hour incubation at 50% water filled pore space and measured with infrared gas analyzer (IRGA)  ,"  Hurisso, T. T., Culman, S. W., Zone, P., & Sharma, S. (2018). Absolute values and precision of emerging soil health indicators as affected by soil sieve size. Communications in Soil Science and Plant Analysis, 49(15), 1934–1942. https://doi.org/10.1080/00103624.2018.1492597",,,,,,,,,,,,,,,,,
,,B1d,,,,,,,,,,,,,,Potentially mineralizable carbon (PMC) (anaerobic),30-wk aerobic incubation method to estimate soil N mineralization potential,"Drinkwater, L. E., Cambardella, C. A., Reeder, J. D., & Rice, C. W. (1997). Potentially Mineralizable Nitrogen as an Indicator of Biologically Active Soil Nitrogen. In Methods for Assessing Soil Quality (pp. 217–229). John Wiley & Sons, Ltd. https://doi.org/10.2136/sssaspecpub49.c13",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,B1zz,,,,,,,,,,,,,,Other,,,,,,,,,,,,,,,,,,,
,B2,,,,,,,,,,,,,,,Enzymes,,,,,,,,,,,,,,,,,,,
,,B2a,,6A5,,,,,,,,,,,,"P-Nitrophenol, b-Glucosidase",,"SSIR No. 42, v5, pg 513, http://www.nrcs.usda.gov/Internet/FSE_DOCUMENTS/stelprdb1253872.pdf#page=541",,,,,,,,,,,,,,,,,
,,B2b,,,,1,1,1,,,,,,1,,"extracellular enzyme activity (beta-glucosidase, cellobihohydrolase, phosphatase, N-acetylglucosaminidase)",Gutknecht lab  ,"German, D. P., Weintraub, M. N., Grandy, A. S., Lauber, C. L., Rinkes, Z. L., & Allison, S. D. (2011). Optimization of hydrolytic and oxidative enzyme methods for ecosystem studies. Soil Biology and Biochemistry, 43(7), 1387–1397. https://doi.org/10.1016/j.soilbio.2011.03.017",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,B2zz,,,,,,,,,,,,,,Other,,,,,,,,,,,,,,,,,,,
,B3,,,,,,,,,,,,,,,Microbial Community Characteristics ,,,,,,,,,,,,,,,,,,,
,,B3a,,,1,,1,,,1,,,,,,Phospholoipid Fatty Acid (PLFA),,,,,,,,,,,,,,,,,,,
,,,B3a1,,,,,,,,,,,,,PLFA,Gutknecht Lab,"Hamel, C., Hanson, K., Selles, F., Cruz, A. F., Lemke, R., McConkey, B., & Zentner, R. (2006). Seasonal and long-term resource-related variations in soil microbial communities in wheat-based rotations of the Canadian prairie. Soil Biology and Biochemistry, 38(8), 2104–2116. https://doi.org/10.1016/j.soilbio.2006.01.011",,,,,,,,,,,,,,,,,
,,,B3a2,,,,,,,,,,,,,PLFA,Regen Ag Lab,,,,,,,,,,,,,,,,,,
,,,B3a3,,,,,,,,,,,,,PLFA,"Haney Test, Ward Lab",,,,,,,,,,,,,,,,,,
,,B3b,,,,,,,,,,,,,,microbial biomass direct chloroform extraction,,"Gregorich, E. G., Wen, G., Voroney, R. P., & Kachanoski, R. G. (1990). Calibration of a rapid direct chloroform extraction method for measuring soil microbial biomass C. Soil Biology and Biochemistry, 22(7), 1009–1011. https://doi.org/10.1016/0038-0717(90)90148-S",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,B3zz,,,,,,,,,,,,,,Other,,,,,,,,,,,,,,,,,,,
,B4,,,,,,,,,,,,,,,Root Health,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,B4zz,,,,,,,,,,,,,,Other,,,,,,,,,,,,,,,,,,,
,B6,,,,,,,,,,,,,,,Meso/Macro fauna,,,,,,,,,,,,,,,,,,,
,,B6a,,,,,,,,,,,,,,earthworms,,,,,,,,,,,,,,,,,,,
,,,B6a1,,,1,,,,,,,,,,"Handsort, (quantitative)","NCRS, Dig a one foot cubed hole and hand sort the worms to get a total count of worms present",,,,,,,,,,,,,,,,,,
